A Rolling Ball of Death	Rolling Death	"{""key"": 2791, ""value"": { ""casting_likelihood"": 2.02}}"
A Shadow of Black Ferah	Fire Vulnerability Other VI	"{""key"": 1108, ""value"": { ""casting_likelihood"": 2.02}}"
A Shadow of Black Ferah	Infernae	"{""key"": 2130, ""value"": { ""casting_likelihood"": 2.02}}"
A Shadow of Black Ferah	Magic Yield Other VI	"{""key"": 285, ""value"": { ""casting_likelihood"": 2.02}}"
A Shadow of Black Ferah	Shock Wave VI	"{""key"": 69, ""value"": { ""casting_likelihood"": 2.02}}"
A Shadow of Black Ferah	Flame Bolt VI	"{""key"": 85, ""value"": { ""casting_likelihood"": 2.02}}"
A Shadow of Ler Rhan	Heavy Shock Ring	"{""key"": 3942, ""value"": { ""casting_likelihood"": 2.02}}"
A Wilhelm Scream	Lightning Arc IV	"{""key"": 2735, ""value"": { ""casting_likelihood"": 2.02}}"
A Wilhelm Scream	Flame Arc II	"{""key"": 2740, ""value"": { ""casting_likelihood"": 2.02}}"
A Wilhelm Scream (Player)	Lightning Vulnerability Other II	"{""key"": 1085, ""value"": { ""casting_likelihood"": 2.02}}"
A Wilhelm Scream (Player)	Imperil Other II	"{""key"": 1323, ""value"": { ""casting_likelihood"": 2.02}}"
Aa Battery	Fire Vulnerability Other IV	"{""key"": 1106, ""value"": { ""casting_likelihood"": 2.02}}"
Abominable Snowman	Halo of Frost	"{""key"": 1787, ""value"": { ""casting_likelihood"": 2.02}}"
Abominable Snowman	Foon-Ki's Glacial Floe	"{""key"": 1843, ""value"": { ""casting_likelihood"": 2.02}}"
Abominable Snowman	Icy Torment	"{""key"": 2136, ""value"": { ""casting_likelihood"": 2.02}}"
Abominable Snowman	Gelidite's Gift	"{""key"": 2168, ""value"": { ""casting_likelihood"": 2.02}}"
Abominable Snowman	Broadside of a Barn	"{""key"": 2228, ""value"": { ""casting_likelihood"": 2.02}}"
Abominable Snowman	Gravity Well	"{""key"": 2318, ""value"": { ""casting_likelihood"": 2.02}}"
