Alchemy Ineptitude Other VII	Bottle Breaker
Alchemy Mastery Other VII	Silencia's Boon
Alchemy Mastery Self VII	Silencia's Blessing
Arcane Benightedness Other VII	Hands of Chorizite
Arcane Enlightenment Other VII	Aliester's Boon
Arcane Enlightenment Self VII	Aliester's Blessing
Armor Expertise Other VII	Jibril's Boon
Armor Expertise Self VII	Jibril's Blessing
Armor Ignorance Other VII	Jibril's Vitae
Axe Ineptitude Other VII	S'retpirk's Delight
Axe Mastery Other VII	Reenigne's Boon
Axe Mastery Self VII	Reenigne's Blessing
Bafflement Other VII	Synaptic Misfire
Bow Ineptitude Other VII	Chronic Twitch
Bow Mastery Other VII	Strathelar's Boon
Bow Mastery Self VII	Strathelar's Blessing
Clumsiness Other VII	Ataxia
Cooking Ineptitude Other VII	Challenger's Legacy
Cooking Mastery Other VII	Morimoto's Boon
Cooking Mastery Self VII	Morimoto's Blessing
Coordination Other VII	Boon of Refinement
Coordination Self VII	Honed Control
Creature Enchantment Ineptitude Other VII	Wrath of Adja
Creature Enchantment Mastery Other VII	Adja's Boon
Creature Enchantment Mastery Self VII	Adja's Blessing
Crossbow Ineptitude Other VII	Itchy Finger
Crossbow Mastery Other VII	Barnar's Boon
Crossbow Mastery Self VII	Barnar's Blessing
Dagger Ineptitude Other VII	Picking of the Teeth
Dagger Mastery Other VII	Gertarh's Boon
Dagger Mastery Self VII	Gertarh's Blessing
Deception Ineptitude Other VII	Hearts on Sleeves
Deception Mastery Other VII	Ketnan's Boon
Deception Mastery Self VII	Ketnan's Blessing
Defenselessness Other VII	Broadside of a Barn
Endurance Other VII	Temeritous Touch
Endurance Self VII	Perseverance
Faithlessness Other VII	Sashi Mu's Kiss
Fealty Other VII	Odif's Boon
Fealty Self VII	Odif's Blessing
Feeblemind Other VII	Self Loathing
Fletching Ineptitude Other VII	Twisted Digits
Fletching Mastery Other VII	Lilitha's Boon
Fletching Mastery Self VII	Lilitha's Blessing
Focus Other VII	Calming Gaze
Focus Self VII	Inner Calm
Frailty Other VII	Brittle Bones
Healing Ineptitude Other VII	Unsteady Hands
Healing Mastery Other VII	Avalenne's Boon
Healing Mastery Self VII	Avalenne's Blessing
Impregnability Other VII	Web of Deflection
Impregnability Self VII	Aura of Deflection
Invulnerability Other VII	Web of Defense
Invulnerability Self VII	Aura of Defense
Item Enchantment Ineptitude Other VII	Wrath of Celcynd
Item Enchantment Mastery Other VII	Celcynd's Boon
Item Enchantment Mastery Self VII	Celcynd's Blessing
Item Expertise Other VII	Yoshi's Boon
Item Expertise Self VII	Yoshi's Blessing
Item Ignorance Other VII	Unfortunate Appraisal
Jumping Ineptitude Other VII	Feat of Radaz
Jumping Mastery Other VII	Jahannan's Boon
Jumping Mastery Self VII	Jahannan's Blessing
Leaden Feet Other VII	Gears Unwound
Leadership Ineptitude Other VII	Kwipetian Vision
Leadership Mastery Other VII	Ar-Pei's Boon
Leadership Mastery Self VII	Ar-Pei's Blessing
Life Magic Ineptitude Other VII	Wrath of Harlune
Life Magic Mastery Other VII	Harlune's Boon
Life Magic Mastery Self VII	Harlune's Blessing
Lockpick Ineptitude Other VII	Fat Fingers
Lockpick Mastery Other VII	Oswald's Boon
Lockpick Mastery Self VII	Oswald's Blessing
Mace Ineptitude Other VII	Top Heavy Swing
Mace Mastery Other VII	Mi-Krauli's Boon
Mace Mastery Self VII	Mi-Krauli's Blessing
Magic Item Expertise Other VII	Celdiseth's Boon
Magic Item Expertise Self VII	Celdiseth's Blessing
Magic Item Ignorance Other VII	Eyes Clouded
Magic Resistance Other VII	Web of Resistance
Magic Resistance Self VII	Aura of Resistance
Magic Yield Other VII	Futility
Mana Conversion Ineptitude Other VII	Inefficient Investment
